lg2_pagesize,columns,levels,IPC,DTLB hit,DTLB miss,ITLB hit,ITLB miss,STLB hit,STLB miss
12,8,3,1.643,20906857,636260,1889,2,619493,360
10,8,4,1.628,20710864,834725,1880,11,658710,101867
12,512,3,1.675,20912054,636364,1883,2,619491,360
8,32,4,1.619,20687478,1223797,1748,241,510513,429763
16,32,4,1.655,21088807,639,1887,0,162,22
14,128,3,1.659,20782056,355792,1889,0,349370,90
14,32,3,1.655,20781994,355790,1890,0,349371,90
14,32,4,1.655,20786901,355785,1889,0,349379,90
8,8,3,1.615,20684672,1222838,1742,238,510546,429761
8,32,3,1.62,20687437,1222516,1740,238,510540,429762
8,512,4,1.645,20692481,1222353,1745,241,510497,429765
10,512,3,1.66,20715590,834128,1876,11,658763,101884
8,8,4,1.614,20684435,1223497,1753,236,510481,429762
16,32,3,1.656,21079810,645,1889,0,164,22
12,8,4,1.644,20906474,636287,1889,2,619496,360
12,512,4,1.674,20911606,636373,1885,2,619517,360
14,8,3,1.648,20778484,355774,1889,0,349364,90
10,32,3,1.634,20713150,834123,1871,11,658761,101882
12,128,4,1.652,20909865,636312,1885,2,619508,360
16,8,4,1.649,21086004,631,1887,0,162,22
10,128,4,1.637,20712469,834850,1877,11,658704,101874
8,128,4,1.624,20688630,1223418,1748,241,510491,429760
10,512,4,1.658,20714685,834985,1875,11,658710,101872
8,128,3,1.626,20688264,1222378,1739,238,510550,429761
10,128,3,1.639,20713256,834135,1871,11,658763,101882
12,32,3,1.647,20909325,636241,1886,2,619497,360
16,512,4,1.682,21091206,644,1887,0,163,22
10,8,3,1.629,20710035,834144,1873,11,658761,101882
10,32,4,1.631,20712296,834777,1879,11,658701,101871
14,512,3,1.682,20782700,355815,1889,0,349382,90
8,512,3,1.646,20688547,1222954,1742,238,510564,429762
14,512,4,1.68,20790679,355804,1889,0,349386,90
12,128,3,1.654,20910514,636318,1884,2,619488,360
16,8,3,1.65,21079112,636,1889,0,163,22
16,128,3,1.663,21081597,645,1890,0,163,22
12,32,4,1.646,20909898,636313,1885,2,619515,360
16,512,3,1.684,21083074,649,1890,0,164,22
14,128,4,1.66,20788492,355782,1889,0,349386,90
16,128,4,1.662,21091029,635,1887,0,162,22
14,8,4,1.648,20783706,355796,1889,0,349380,90
